City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,romitan,39.9343,64.3814,8.55,85,12,4.61,UZ,1674009160
308,tawau,4.2498,117.8871,86.13,70,100,1.99,MY,1674009160
309,hervey bay,-25.2986,152.8535,77.43,64,29,18.54,AU,1674009161
310,wooster,40.8051,-81.9351,44.85,88,100,14.97,US,1674009009
311,sakakah,29.9697,40.2064,42.37,62,0,3.36,SA,1674009162
312,norman wells,65.282,-126.8329,-11.16,77,20,3.44,CA,1674009162
313,tabory,58.5198,64.5495,10.63,84,87,8.32,RU,1674009162
314,saint-philippe,-21.3585,55.7679,78.39,85,100,14.56,RE,1674009163
315,nanortalik,60.1432,-45.2371,26.11,79,100,7.99,GL,1674009163
316,noumea,-22.2763,166.4572,85.98,99,100,14.88,NC,1674008866
317,luganville,-15.5333,167.1667,81.32,80,94,4.34,VU,1674009164
318,scottsbluff,41.8666,-103.6672,31.55,95,100,5.75,US,1674009164
319,kudahuvadhoo,2.6708,72.8944,80.73,76,51,8.19,MV,1674009165
320,chokurdakh,70.6333,147.9167,-36.27,100,40,4.23,RU,1674009165
321,honiara,-9.4333,159.95,81.73,84,96,8.1,SB,1674009166
322,souillac,-20.5167,57.5167,77.38,88,40,14.97,MU,1674009166
323,cartagena,10.3997,-75.5144,78.42,83,20,6.91,CO,1674009167
324,campobello di mazara,37.6358,12.7443,55.47,92,65,14.9,IT,1674009167
325,santarem,-2.4431,-54.7083,73.53,100,75,3.44,BR,1674009168
326,ambulu,-8.345,113.6058,83.23,74,100,5.57,ID,1674009168
327,opuwo,-18.0607,13.84,67.89,80,100,0.63,NA,1674009168
328,vardo,70.3705,31.1107,24.78,86,9,24.16,NO,1674009169
329,male,4.1748,73.5089,82.35,83,40,10.36,MV,1674009169
330,santa rosalia,27.3167,-112.2833,56.66,56,0,10.09,MX,1674009170
331,ganganagar,29.9167,73.8833,45.5,36,12,3.51,IN,1674009170
332,viedma,-40.8135,-62.9967,70.0,78,100,12.91,AR,1674009034
333,te anau,-45.4167,167.7167,77.5,38,9,3.76,NZ,1674009171
334,sao gabriel da cachoeira,-0.1303,-67.0892,70.56,99,100,1.28,BR,1674009171
335,murgab,37.4966,61.9714,15.67,92,75,0.0,TM,1674009172
336,verkhnyaya inta,65.9811,60.3094,15.8,86,100,17.49,RU,1674009172
337,khani,41.9563,42.9566,35.17,66,20,6.13,GE,1674009173
338,kulhudhuffushi,6.6221,73.07,80.55,75,10,14.12,MV,1674009173
339,necochea,-38.5473,-58.7368,70.79,77,100,15.03,AR,1674009174
340,dingle,10.9995,122.6711,81.27,82,100,9.51,PH,1674009174
341,tarko-sale,64.9225,77.785,-4.11,96,100,16.84,RU,1674008907
342,tharad,24.3961,71.6267,54.84,28,1,4.09,IN,1674009062
343,tautira,-17.7333,-149.15,79.99,78,18,10.58,PF,1674009175
344,praia da vitoria,38.7333,-27.0667,55.65,76,75,11.43,PT,1674009175
345,corner brook,48.9667,-57.9484,37.56,99,100,6.08,CA,1674009176
346,kushima,31.4583,131.2333,52.05,53,9,10.89,JP,1674009176
347,ibimirim,-8.5406,-37.6903,71.44,75,68,4.79,BR,1674009177
348,dubrovka,53.6907,33.5071,34.32,98,100,13.91,RU,1674009177
